"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"141" "C7_4" "C7" "54D_Bd" 4 0.146 "T0" 0 "5" "Bd" "54D" 0.1319 0.00328125992061993 0.0141
"142" "C8_4" "C8" "54D_Bd" 4 0.145 "T0" 0 "6" "Bd" "54D" 0.1319 0.00328125992061993 0.0131
"143" "C11_4" "C11" "54D_20D_Bd" 4 0.14 "T0" 0 "5" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.00240000000000001
"144" "C12_4" "C12" "54D_20D_Bd" 4 0.145 "T0" 0 "6" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.00739999999999999
"145" "D3_4" "D3" "37E_JlivBTP_Bd" 4 0.12 "T0" 0 "7" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.00439999999999999
"146" "D4_4" "D4" "37E_JlivBTP_Bd" 4 0.131 "T0" 0 "8" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0154
"147" "D7_4" "D7" "54D_Bd" 4 0.143 "T0" 0 "7" "Bd" "54D" 0.1319 0.00328125992061993 0.0111
"148" "D8_4" "D8" "54D_Bd" 4 0.143 "T0" 0 "8" "Bd" "54D" 0.1319 0.00328125992061993 0.0111
"149" "D11_4" "D11" "54D_20D_Bd" 4 0.148 "T0" 0 "7" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.0104
"150" "D12_4" "D12" "54D_20D_Bd" 4 0.146 "T0" 0 "8" "Bd" "54D_20D" 0.1376 0.00295145914949048 0.00839999999999999
"151" "E3_4" "E3" "37E_JlivBTP_Bd" 4 0.121 "T0" 0 "9" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.00539999999999999
"152" "E4_4" "E4" "37E_JlivBTP_Bd" 4 0.13 "T0" 0 "10" "Bd" "37E_JlivBTP" 0.1156 0.00380642731296538 0.0144
