"Rep_char" "well_ID" "sampleID" "Plate" "OD" "Timepoint" "HoursElapsed" "Rep" "Bd" "CFS_type" "conOD_ave" "conOD_sd" "OD_adj"
"97" "C3_3" "C3" "37E_20D_Bd" 3 0.141 "T0" 0 "5" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.00579999999999997
"98" "C4_3" "C4" "37E_20D_Bd" 3 0.135 "T0" 0 "6" "Bd" "37E_20D" 0.1352 0.00265832027165025 -0.000200000000000006
"99" "C7_3" "C7" "37E_2F_Bd" 3 0.152 "T0" 0 "5" "Bd" "37E_2F" 0.1339 0.00428044649799787 0.0181
"100" "C8_3" "C8" "37E_2F_Bd" 3 0.13 "T0" 0 "6" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00390000000000001
"101" "C11_3" "C11" "37E_54D_Bd" 3 0.147 "T0" 0 "5" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00689999999999999
"102" "C12_3" "C12" "37E_54D_Bd" 3 0.149 "T0" 0 "6" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00889999999999999
"103" "D3_3" "D3" "37E_20D_Bd" 3 0.141 "T0" 0 "7" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.00579999999999997
"104" "D4_3" "D4" "37E_20D_Bd" 3 0.142 "T0" 0 "8" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.00679999999999997
"105" "D7_3" "D7" "37E_2F_Bd" 3 0.128 "T0" 0 "7" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00590000000000002
"106" "D8_3" "D8" "37E_2F_Bd" 3 0.129 "T0" 0 "8" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00490000000000002
"107" "D11_3" "D11" "37E_54D_Bd" 3 0.145 "T0" 0 "7" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.00489999999999999
"108" "D12_3" "D12" "37E_54D_Bd" 3 0.153 "T0" 0 "8" "Bd" "37E_54D" 0.1401 0.00455704582670249 0.0129
"109" "E3_3" "E3" "37E_20D_Bd" 3 0.14 "T0" 0 "9" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.0048
"110" "E4_3" "E4" "37E_20D_Bd" 3 0.138 "T0" 0 "10" "Bd" "37E_20D" 0.1352 0.00265832027165025 0.0028
"111" "E7_3" "E7" "37E_2F_Bd" 3 0.125 "T0" 0 "9" "Bd" "37E_2F" 0.1339 0.00428044649799787 -0.00890000000000002
