"sampleID" "Replicate_trial" "Rep" "OD" "HoursElapsed" "OD_adj"
"124" "37E_20D" "37E_20D_1" "1" 0.552 36 0.552
"125" "37E_20D" "37E_20D_1" "1" 0.59 48 0.59
"126" "37E_20D" "37E_20D_2" "2" -0.049 0 -0.049
"127" "37E_20D" "37E_20D_2" "2" 0.325 12 0.325
"128" "37E_20D" "37E_20D_2" "2" 0.496 24 0.496
"129" "37E_20D" "37E_20D_2" "2" 0.541 36 0.541
"130" "37E_20D" "37E_20D_2" "2" 0.496 48 0.496
"131" "37E_20D" "37E_20D_3" "3" -0.095 0 -0.095
"132" "37E_20D" "37E_20D_3" "3" 0.224 12 0.224
"133" "37E_20D" "37E_20D_3" "3" 0.292 24 0.292
"134" "37E_20D" "37E_20D_3" "3" 0.471 36 0.471
"135" "37E_20D" "37E_20D_3" "3" 0.444 48 0.444
"136" "37E_2F" "37E_2F_1" "1" -0.012 0 -0.012
"137" "37E_2F" "37E_2F_1" "1" 0.112 12 0.112
"138" "37E_2F" "37E_2F_1" "1" 0.265 24 0.265
"139" "37E_2F" "37E_2F_1" "1" 0.34 36 0.34
"140" "37E_2F" "37E_2F_1" "1" 0.331 48 0.331
"141" "37E_2F" "37E_2F_2" "2" -0.009 0 -0.009
"142" "37E_2F" "37E_2F_2" "2" 0.115 12 0.115
"143" "37E_2F" "37E_2F_2" "2" 0.275 24 0.275
"144" "37E_2F" "37E_2F_2" "2" 0.22 36 0.22
"145" "37E_2F" "37E_2F_2" "2" 0.334 48 0.334
"146" "37E_2F" "37E_2F_3" "3" -0.089 0 -0.089
"147" "37E_2F" "37E_2F_3" "3" 0.079 12 0.079
"148" "37E_2F" "37E_2F_3" "3" 0.234 24 0.234
"149" "37E_2F" "37E_2F_3" "3" 0.338 36 0.338
"150" "37E_2F" "37E_2F_3" "3" 0.67 48 0.67
"151" "37E_54D" "37E_54D_1" "1" -0.003 0 -0.003
"152" "37E_54D" "37E_54D_1" "1" 0.34 12 0.34
"153" "37E_54D" "37E_54D_1" "1" 0.309 24 0.309
"154" "37E_54D" "37E_54D_1" "1" 0.38 36 0.38
"155" "37E_54D" "37E_54D_1" "1" 0.619 48 0.619
"156" "37E_54D" "37E_54D_2" "2" -0.004 0 -0.004
"157" "37E_54D" "37E_54D_2" "2" 0.335 12 0.335
"158" "37E_54D" "37E_54D_2" "2" 0.313 24 0.313
"159" "37E_54D" "37E_54D_2" "2" 0.209 36 0.209
"160" "37E_54D" "37E_54D_2" "2" 0.409 48 0.409
"161" "37E_54D" "37E_54D_3" "3" -0.077 0 -0.077
"162" "37E_54D" "37E_54D_3" "3" 0.201 12 0.201
"163" "37E_54D" "37E_54D_3" "3" 0.298 24 0.298
"164" "37E_54D" "37E_54D_3" "3" 0.218 36 0.218
"165" "37E_54D" "37E_54D_3" "3" 0.436 48 0.436
"166" "37E_Jliv10" "37E_Jliv10_1" "1" 0.003 0 0.003
"167" "37E_Jliv10" "37E_Jliv10_1" "1" 0.344 12 0.344
"168" "37E_Jliv10" "37E_Jliv10_1" "1" 0.35 24 0.35
"169" "37E_Jliv10" "37E_Jliv10_1" "1" 0.479 36 0.479
"170" "37E_Jliv10" "37E_Jliv10_1" "1" 0.407 48 0.407
"171" "37E_Jliv10" "37E_Jliv10_2" "2" -0.015 0 -0.015
"172" "37E_Jliv10" "37E_Jliv10_2" "2" 0.277 12 0.277
"173" "37E_Jliv10" "37E_Jliv10_2" "2" 0.344 24 0.344
"174" "37E_Jliv10" "37E_Jliv10_2" "2" 0.429 36 0.429
"175" "37E_Jliv10" "37E_Jliv10_2" "2" 0.369 48 0.369
"176" "37E_Jliv10" "37E_Jliv10_3" "3" -0.142 0 -0.142
"177" "37E_Jliv10" "37E_Jliv10_3" "3" 0.273 12 0.273
"178" "37E_Jliv10" "37E_Jliv10_3" "3" 0.333 24 0.333
"179" "37E_Jliv10" "37E_Jliv10_3" "3" 0.467 36 0.467
"180" "37E_Jliv10" "37E_Jliv10_3" "3" 0.431 48 0.431
"181" "37E_JlivBTP" "37E_JlivBTP_1" "1" -0.122 0 -0.122
"182" "37E_JlivBTP" "37E_JlivBTP_1" "1" 0.209 12 0.209
"183" "37E_JlivBTP" "37E_JlivBTP_1" "1" 0.349 24 0.349
"184" "37E_JlivBTP" "37E_JlivBTP_1" "1" 0.5 36 0.5
"185" "37E_JlivBTP" "37E_JlivBTP_1" "1" 0.508 48 0.508
"186" "37E_JlivBTP" "37E_JlivBTP_2" "2" -0.018 0 -0.018
"187" "37E_JlivBTP" "37E_JlivBTP_2" "2" 0.132 12 0.132
"188" "37E_JlivBTP" "37E_JlivBTP_2" "2" 0.316 24 0.316
"189" "37E_JlivBTP" "37E_JlivBTP_2" "2" 0.404 36 0.404
"190" "37E_JlivBTP" "37E_JlivBTP_2" "2" 0.426 48 0.426
"191" "37E_JlivBTP" "37E_JlivBTP_3" "3" -0.018 0 -0.018
"192" "37E_JlivBTP" "37E_JlivBTP_3" "3" 0.204 12 0.204
"193" "37E_JlivBTP" "37E_JlivBTP_3" "3" 0.329 24 0.329
"194" "37E_JlivBTP" "37E_JlivBTP_3" "3" 0.502 36 0.502
"195" "37E_JlivBTP" "37E_JlivBTP_3" "3" 0.532 48 0.532
"196" "54D" "54D_1" "1" -0.024 0 -0.024
"197" "54D" "54D_1" "1" 0.172 12 0.172
"198" "54D" "54D_1" "1" 0.069 24 0.069
"199" "54D" "54D_1" "1" -0.018 36 -0.018
"200" "54D" "54D_1" "1" -0.084 48 -0.084
"201" "54D" "54D_2" "2" -0.004 0 -0.004
"202" "54D" "54D_2" "2" 0.155 12 0.155
"203" "54D" "54D_2" "2" 0.098 24 0.098
"204" "54D" "54D_2" "2" -0.044 36 -0.044
"205" "54D" "54D_2" "2" -0.055 48 -0.055
"206" "54D" "54D_3" "3" -0.013 0 -0.013
"207" "54D" "54D_3" "3" 0.164 12 0.164
"208" "54D" "54D_3" "3" 0.097 24 0.097
"209" "54D" "54D_3" "3" -0.006 36 -0.006
"210" "54D" "54D_3" "3" -0.027 48 -0.027
"211" "54D_20D" "54D_20D_1" "1" -0.03 0 -0.03
"212" "54D_20D" "54D_20D_1" "1" 0.141 12 0.141
"213" "54D_20D" "54D_20D_1" "1" 0.452 24 0.452
"214" "54D_20D" "54D_20D_1" "1" 0.461 36 0.461
"215" "54D_20D" "54D_20D_1" "1" 0.489 48 0.489
"216" "54D_20D" "54D_20D_2" "2" 0.019 0 0.019
"217" "54D_20D" "54D_20D_2" "2" 0.087 12 0.087
"218" "54D_20D" "54D_20D_2" "2" 0.375 24 0.375
"219" "54D_20D" "54D_20D_2" "2" 0.344 36 0.344
"220" "54D_20D" "54D_20D_2" "2" 0.444 48 0.444
"221" "54D_20D" "54D_20D_3" "3" 0.013 0 0.013
"222" "54D_20D" "54D_20D_3" "3" 0.135 12 0.135
"223" "54D_20D" "54D_20D_3" "3" 0.396 24 0.396
"224" "54D_20D" "54D_20D_3" "3" 0.375 36 0.375
"225" "54D_20D" "54D_20D_3" "3" 0.517 48 0.517
"226" "54D_2F" "54D_2F_1" "1" 0.028 0 0.028
"227" "54D_2F" "54D_2F_1" "1" 0.96 12 0.96
"228" "54D_2F" "54D_2F_1" "1" 0.419 24 0.419
"229" "54D_2F" "54D_2F_1" "1" 0.753 36 0.753
"230" "54D_2F" "54D_2F_1" "1" 0.615 48 0.615
