well_ID sampleID Plate OD Timepoint HoursElapsed
A7 54D_JlivBTP_Bd 5 0.129 T0 0
A8 54D_JlivBTP_Bd 5 0.136 T0 0
A9 Jliv10 5 0.137 T0 0
A10 Jliv10 5 0.134 T0 0
A11 Jliv10_Bd 5 0.131 T0 0
A12 Jliv10_Bd 5 0.147 T0 0
B1 54D_Jliv10 5 0.119 T0 0
B2 54D_Jliv10 5 0.108 T0 0
B3 54D_Jliv10_Bd 5 0.118 T0 0
B4 54D_Jliv10_Bd 5 0.124 T0 0
B5 54D_JlivBTP 5 0.121 T0 0
B6 54D_JlivBTP 5 0.123 T0 0
B7 54D_JlivBTP_Bd 5 0.129 T0 0
B8 54D_JlivBTP_Bd 5 0.13 T0 0
B9 Jliv10 5 0.144 T0 0
B10 Jliv10 5 0.142 T0 0
B11 Jliv10_Bd 5 0.145 T0 0
B12 Jliv10_Bd 5 0.147 T0 0
C1 54D_Jliv10 5 0.118 T0 0
C2 54D_Jliv10 5 0.103 T0 0
C3 54D_Jliv10_Bd 5 0.122 T0 0
C4 54D_Jliv10_Bd 5 0.124 T0 0
C5 54D_JlivBTP 5 0.12 T0 0
C6 54D_JlivBTP 5 0.118 T0 0
C7 54D_JlivBTP_Bd 5 0.137 T0 0
C8 54D_JlivBTP_Bd 5 0.128 T0 0
C9 Jliv10 5 0.15 T0 0
C10 Jliv10 5 0.14 T0 0
C11 Jliv10_Bd 5 0.142 T0 0
C12 Jliv10_Bd 5 0.145 T0 0
D1 54D_Jliv10 5 0.12 T0 0
D2 54D_Jliv10 5 0.107 T0 0
D3 54D_Jliv10_Bd 5 0.124 T0 0
D4 54D_Jliv10_Bd 5 0.127 T0 0
D5 54D_JlivBTP 5 0.115 T0 0
D6 54D_JlivBTP 5 0.121 T0 0
D7 54D_JlivBTP_Bd 5 0.128 T0 0
D8 54D_JlivBTP_Bd 5 0.128 T0 0
D9 Jliv10 5 0.141 T0 0
D10 Jliv10 5 0.146 T0 0
D11 Jliv10_Bd 5 0.143 T0 0
D12 Jliv10_Bd 5 0.147 T0 0
E1 54D_Jliv10 5 0.121 T0 0
E2 54D_Jliv10 5 0.118 T0 0
E3 54D_Jliv10_Bd 5 0.126 T0 0
E4 54D_Jliv10_Bd 5 0.123 T0 0
E5 54D_JlivBTP 5 0.117 T0 0
E6 54D_JlivBTP 5 0.119 T0 0
E7 54D_JlivBTP_Bd 5 0.127 T0 0
E8 54D_JlivBTP_Bd 5 0.127 T0 0
E9 Jliv10 5 0.136 T0 0
E10 Jliv10 5 0.136 T0 0
E11 Jliv10_Bd 5 0.142 T0 0
E12 Jliv10_Bd 5 0.142 T0 0
F1 Jliv10_JlivBTP 5 0.134 T0 0
F2 Jliv10_JlivBTP 5 0.13 T0 0
F3 Jliv10_JlivBTP 5 0.135 T0 0
F4 Jliv10_JlivBTP 5 0.132 T0 0
F5 Jliv10_JlivBTP 5 0.138 T0 0
F6 Jliv10_JlivBTP 5 0.135 T0 0
F7 Jliv10_JlivBTP 5 0.134 T0 0
F8 Jliv10_JlivBTP 5 0.135 T0 0
F9 Jliv10_JlivBTP 5 0.134 T0 0
F10 Jliv10_JlivBTP 5 0.134 T0 0
G1 Jliv10_JlivBTP_Bd 5 0.145 T0 0
G2 Jliv10_JlivBTP_Bd 5 0.13 T0 0
G3 Jliv10_JlivBTP_Bd 5 0.135 T0 0
G4 Jliv10_JlivBTP_Bd 5 0.137 T0 0
G5 Jliv10_JlivBTP_Bd 5 0.132 T0 0
G6 Jliv10_JlivBTP_Bd 5 0.129 T0 0
G7 Jliv10_JlivBTP_Bd 5 0.132 T0 0
G8 Jliv10_JlivBTP_Bd 5 0.138 T0 0
G9 Jliv10_JlivBTP_Bd 5 0.134 T0 0
G10 Jliv10_JlivBTP_Bd 5 0.137 T0 0
G11 Live_Bd 5 0.145 T0 0
G12 Live_Bd 5 0.146 T0 0
H1 JlivBTP_Bd 5 0.079 T0 0
H2 JlivBTP_Bd 5 0.087 T0 0
H3 JlivBTP_Bd 5 0.079 T0 0
H4 JlivBTP_Bd 5 0.081 T0 0
H5 JlivBTP_Bd 5 0.081 T0 0
H6 JlivBTP_Bd 5 0.078 T0 0
H7 JlivBTP_Bd 5 0.08 T0 0
H8 JlivBTP_Bd 5 0.08 T0 0
H9 JlivBTP_Bd 5 0.079 T0 0
H10 JlivBTP_Bd 5 0.081 T0 0
H11 SterileMedium 5 0.148 T0 0
H12 SterileMedium 5 0.153 T0 0
A1 20D 1 0.125 T1 26
A2 20D 1 0.124 T1 26
A3 20D_Bd 1 0.138 T1 26
A4 20D_Bd 1 0.144 T1 26
A5 20D_2F 1 0.13 T1 26
A6 20D_2F 1 0.129 T1 26
A7 20D_2F_Bd 1 0.132 T1 26
A8 20D_2F_Bd 1 0.138 T1 26
A9 20D_Jliv10 1 0.146 T1 26
A10 20D_Jliv10 1 0.15 T1 26
A11 20D_Jliv10_Bd 1 0.159 T1 26
A12 20D_Jliv10_Bd 1 0.164 T1 26
B1 20D 1 0.125 T1 26
B2 20D 1 0.123 T1 26
B3 20D_Bd 1 0.136 T1 26
B4 20D_Bd 1 0.139 T1 26
B5 20D_2F 1 0.128 T1 26
B6 20D_2F 1 0.13 T1 26
B7 20D_2F_Bd 1 0.133 T1 26
B8 20D_2F_Bd 1 0.135 T1 26
B9 20D_Jliv10 1 0.144 T1 26
B10 20D_Jliv10 1 0.149 T1 26
B11 20D_Jliv10_Bd 1 0.155 T1 26
B12 20D_Jliv10_Bd 1 0.166 T1 26
C1 20D 1 0.124 T1 26
C2 20D 1 0.12 T1 26
C3 20D_Bd 1 0.134 T1 26
C4 20D_Bd 1 0.137 T1 26
C5 20D_2F 1 0.127 T1 26
C6 20D_2F 1 0.126 T1 26
C7 20D_2F_Bd 1 0.137 T1 26
C8 20D_2F_Bd 1 0.131 T1 26
C9 20D_Jliv10 1 0.152 T1 26
C10 20D_Jliv10 1 0.144 T1 26
C11 20D_Jliv10_Bd 1 0.152 T1 26
C12 20D_Jliv10_Bd 1 0.157 T1 26
D1 20D 1 0.125 T1 26
D2 20D 1 0.12 T1 26
D3 20D_Bd 1 0.133 T1 26
D4 20D_Bd 1 0.133 T1 26
D5 20D_2F 1 0.124 T1 26
D6 20D_2F 1 0.129 T1 26
D7 20D_2F_Bd 1 0.131 T1 26
D8 20D_2F_Bd 1 0.131 T1 26
D9 20D_Jliv10 1 0.141 T1 26
D10 20D_Jliv10 1 0.15 T1 26
D11 20D_Jliv10_Bd 1 0.151 T1 26
D12 20D_Jliv10_Bd 1 0.158 T1 26
E1 20D 1 0.123 T1 26
E2 20D 1 0.123 T1 26
E3 20D_Bd 1 0.134 T1 26
E4 20D_Bd 1 0.134 T1 26
E5 20D_2F 1 0.125 T1 26
E6 20D_2F 1 0.125 T1 26
E7 20D_2F_Bd 1 0.13 T1 26
E8 20D_2F_Bd 1 0.131 T1 26
E9 20D_Jliv10 1 0.135 T1 26
E10 20D_Jliv10 1 0.139 T1 26
E11 20D_Jliv10_Bd 1 0.147 T1 26
E12 20D_Jliv10_Bd 1 0.151 T1 26
F1 20D_JlivBTP 1 0.142 T1 26
F2 20D_JlivBTP 1 0.139 T1 26
F3 20D_JlivBTP 1 0.14 T1 26
F4 20D_JlivBTP 1 0.136 T1 26
F5 20D_JlivBTP 1 0.129 T1 26
F6 20D_JlivBTP 1 0.137 T1 26
F7 20D_JlivBTP 1 0.136 T1 26
F8 20D_JlivBTP 1 0.138 T1 26
F9 20D_JlivBTP 1 0.136 T1 26
F10 20D_JlivBTP 1 0.135 T1 26
F11 SterileMedium 1 0.135 T1 26
F12 SterileMedium 1 0.148 T1 26
G1 20D_JlivBTP_Bd 1 0.145 T1 26
G2 20D_JlivBTP_Bd 1 0.141 T1 26
G3 20D_JlivBTP_Bd 1 0.141 T1 26
G4 20D_JlivBTP_Bd 1 0.143 T1 26
G5 20D_JlivBTP_Bd 1 0.141 T1 26
G6 20D_JlivBTP_Bd 1 0.131 T1 26
G7 20D_JlivBTP_Bd 1 0.131 T1 26
G8 20D_JlivBTP_Bd 1 0.138 T1 26
G9 20D_JlivBTP_Bd 1 0.139 T1 26
G10 20D_JlivBTP_Bd 1 0.14 T1 26
H11 Live_Bd 1 0.149 T1 26
H12 Live_Bd 1 0.154 T1 26
A1 2F 2 0.12 T1 26
A2 2F 2 0.124 T1 26
A3 2F_Bd 2 0.126 T1 26
A4 2F_Bd 2 0.127 T1 26
A5 2F_Jliv10 2 0.13 T1 26
A6 2F_Jliv10 2 0.13 T1 26
A7 2F_Jliv10_Bd 2 0.132 T1 26
A8 2F_Jliv10_Bd 2 0.136 T1 26
A9 2f_JlivBTP 2 0.139 T1 26
A10 2f_JlivBTP 2 0.141 T1 26
A11 2f_JlivBTP_Bd 2 0.144 T1 26
A12 2f_JlivBTP_Bd 2 0.149 T1 26
B1 2F 2 0.129 T1 26
B2 2F 2 0.123 T1 26
B3 2F_Bd 2 0.127 T1 26
B4 2F_Bd 2 0.127 T1 26
B5 2F_Jliv10 2 0.129 T1 26
B6 2F_Jliv10 2 0.132 T1 26
B7 2F_Jliv10_Bd 2 0.135 T1 26
B8 2F_Jliv10_Bd 2 0.137 T1 26
B9 2f_JlivBTP 2 0.144 T1 26
B10 2f_JlivBTP 2 0.143 T1 26
B11 2f_JlivBTP_Bd 2 0.146 T1 26
B12 2f_JlivBTP_Bd 2 0.152 T1 26
C1 2F 2 0.13 T1 26
C2 2F 2 0.121 T1 26
C3 2F_Bd 2 0.124 T1 26
C4 2F_Bd 2 0.125 T1 26
C5 2F_Jliv10 2 0.137 T1 26
C6 2F_Jliv10 2 0.129 T1 26
C7 2F_Jliv10_Bd 2 0.14 T1 26
C8 2F_Jliv10_Bd 2 0.135 T1 26
C9 2f_JlivBTP 2 0.136 T1 26
C10 2f_JlivBTP 2 0.14 T1 26
C11 2f_JlivBTP_Bd 2 0.147 T1 26
C12 2f_JlivBTP_Bd 2 0.155 T1 26
D1 2F 2 0.119 T1 26
D2 2F 2 0.118 T1 26
D3 2F_Bd 2 0.122 T1 26
D4 2F_Bd 2 0.123 T1 26
D5 2F_Jliv10 2 0.126 T1 26
D6 2F_Jliv10 2 0.129 T1 26
D7 2F_Jliv10_Bd 2 0.129 T1 26
D8 2F_Jliv10_Bd 2 0.132 T1 26
D9 2f_JlivBTP 2 0.136 T1 26
D10 2f_JlivBTP 2 0.137 T1 26
D11 2f_JlivBTP_Bd 2 0.142 T1 26
D12 2f_JlivBTP_Bd 2 0.141 T1 26
E1 2F 2 0.121 T1 26
E2 2F 2 0.118 T1 26
E3 2F_Bd 2 0.124 T1 26
E4 2F_Bd 2 0.123 T1 26
E5 2F_Jliv10 2 0.124 T1 26
E6 2F_Jliv10 2 0.126 T1 26
E7 2F_Jliv10_Bd 2 0.128 T1 26
E8 2F_Jliv10_Bd 2 0.133 T1 26
E9 2f_JlivBTP 2 0.133 T1 26
E10 2f_JlivBTP 2 0.133 T1 26
E11 2f_JlivBTP_Bd 2 0.137 T1 26
E12 2f_JlivBTP_Bd 2 0.138 T1 26
F1 37E 2 0.135 T1 26
F2 37E 2 0.133 T1 26
F3 37E 2 0.135 T1 26
F4 37E 2 0.158 T1 26
F5 37E 2 0.128 T1 26
F6 37E 2 0.141 T1 26
F7 37E 2 0.131 T1 26
F8 37E 2 0.13 T1 26
F9 37E 2 0.134 T1 26
F10 37E 2 0.135 T1 26
G1 37E_Bd 2 0.14 T1 26
G2 37E_Bd 2 0.141 T1 26
G3 37E_Bd 2 0.141 T1 26
G4 37E_Bd 2 0.142 T1 26
G5 37E_Bd 2 0.142 T1 26
G6 37E_Bd 2 0.145 T1 26
G7 37E_Bd 2 0.149 T1 26
G8 37E_Bd 2 0.146 T1 26
G9 37E_Bd 2 0.15 T1 26
