well_ID sampleID Plate OD Timepoint HoursElapsed
A4 20D_Bd 1 0.184 T1 23
A5 20D_2F 1 0.144 T1 23
A6 20D_2F 1 0.143 T1 23
A7 20D_2F_Bd 1 0.149 T1 23
A8 20D_2F_Bd 1 0.152 T1 23
A9 20D_Jliv10 1 0.158 T1 23
A10 20D_Jliv10 1 0.157 T1 23
A11 20D_Jliv10_Bd 1 0.187 T1 23
A12 20D_Jliv10_Bd 1 0.192 T1 23
B1 20D 1 0.133 T1 23
B2 20D 1 0.13 T1 23
B3 20D_Bd 1 0.174 T1 23
B4 20D_Bd 1 0.17 T1 23
B5 20D_2F 1 0.13 T1 23
B6 20D_2F 1 0.132 T1 23
B7 20D_2F_Bd 1 0.14 T1 23
B8 20D_2F_Bd 1 0.147 T1 23
B9 20D_Jliv10 1 0.148 T1 23
B10 20D_Jliv10 1 0.148 T1 23
B11 20D_Jliv10_Bd 1 0.185 T1 23
B12 20D_Jliv10_Bd 1 0.196 T1 23
C1 20D 1 0.129 T1 23
C2 20D 1 0.124 T1 23
C3 20D_Bd 1 0.169 T1 23
C4 20D_Bd 1 0.169 T1 23
C5 20D_2F 1 0.135 T1 23
C6 20D_2F 1 0.133 T1 23
C7 20D_2F_Bd 1 0.148 T1 23
C8 20D_2F_Bd 1 0.137 T1 23
C9 20D_Jliv10 1 0.14 T1 23
C10 20D_Jliv10 1 0.146 T1 23
C11 20D_Jliv10_Bd 1 0.175 T1 23
C12 20D_Jliv10_Bd 1 0.199 T1 23
D1 20D 1 0.124 T1 23
D2 20D 1 0.12 T1 23
D3 20D_Bd 1 0.17 T1 23
D4 20D_Bd 1 0.165 T1 23
D5 20D_2F 1 0.124 T1 23
D6 20D_2F 1 0.135 T1 23
D7 20D_2F_Bd 1 0.136 T1 23
D8 20D_2F_Bd 1 0.141 T1 23
D9 20D_Jliv10 1 0.14 T1 23
D10 20D_Jliv10 1 0.137 T1 23
D11 20D_Jliv10_Bd 1 0.181 T1 23
D12 20D_Jliv10_Bd 1 0.194 T1 23
E1 20D 1 0.121 T1 23
E2 20D 1 0.118 T1 23
E3 20D_Bd 1 0.169 T1 23
E4 20D_Bd 1 0.168 T1 23
E5 20D_2F 1 0.127 T1 23
E6 20D_2F 1 0.12 T1 23
E7 20D_2F_Bd 1 0.133 T1 23
E8 20D_2F_Bd 1 0.139 T1 23
E9 20D_Jliv10 1 0.136 T1 23
E10 20D_Jliv10 1 0.131 T1 23
E11 20D_Jliv10_Bd 1 0.178 T1 23
E12 20D_Jliv10_Bd 1 0.215 T1 23
F1 20D_JlivBTP 1 0.125 T1 23
F2 20D_JlivBTP 1 0.124 T1 23
F3 20D_JlivBTP 1 0.124 T1 23
F4 20D_JlivBTP 1 0.122 T1 23
F5 20D_JlivBTP 1 0.129 T1 23
F6 20D_JlivBTP 1 0.127 T1 23
F7 20D_JlivBTP 1 0.122 T1 23
F8 20D_JlivBTP 1 0.123 T1 23
F9 20D_JlivBTP 1 0.128 T1 23
F10 20D_JlivBTP 1 0.117 T1 23
F11 SterileMedium 1 0.131 T1 23
F12 SterileMedium 1 0.138 T1 23
G1 20D_JlivBTP_Bd 1 0.174 T1 23
G2 20D_JlivBTP_Bd 1 0.162 T1 23
G3 20D_JlivBTP_Bd 1 0.169 T1 23
G4 20D_JlivBTP_Bd 1 0.171 T1 23
G5 20D_JlivBTP_Bd 1 0.168 T1 23
G6 20D_JlivBTP_Bd 1 0.167 T1 23
G7 20D_JlivBTP_Bd 1 0.162 T1 23
G8 20D_JlivBTP_Bd 1 0.171 T1 23
G9 20D_JlivBTP_Bd 1 0.17 T1 23
G10 20D_JlivBTP_Bd 1 0.176 T1 23
H11 Live_Bd 1 0.25 T1 23
H12 Live_Bd 1 0.276 T1 23
A1 2F 2 0.129 T1 23
A2 2F 2 0.134 T1 23
A3 2F_Bd 2 0.136 T1 23
A4 2F_Bd 2 0.137 T1 23
A5 2F_Jliv10 2 0.139 T1 23
A6 2F_Jliv10 2 0.139 T1 23
A7 2F_Jliv10_Bd 2 0.145 T1 23
A8 2F_Jliv10_Bd 2 0.146 T1 23
A9 2f_JlivBTP 2 0.141 T1 23
A10 2f_JlivBTP 2 0.147 T1 23
A11 2f_JlivBTP_Bd 2 0.151 T1 23
A12 2f_JlivBTP_Bd 2 0.151 T1 23
B1 2F 2 0.132 T1 23
B2 2F 2 0.134 T1 23
B3 2F_Bd 2 0.132 T1 23
B4 2F_Bd 2 0.137 T1 23
B5 2F_Jliv10 2 0.137 T1 23
B6 2F_Jliv10 2 0.138 T1 23
B7 2F_Jliv10_Bd 2 0.148 T1 23
B8 2F_Jliv10_Bd 2 0.145 T1 23
B9 2f_JlivBTP 2 0.144 T1 23
B10 2f_JlivBTP 2 0.144 T1 23
B11 2f_JlivBTP_Bd 2 0.151 T1 23
B12 2f_JlivBTP_Bd 2 0.15 T1 23
C1 2F 2 0.123 T1 23
C2 2F 2 0.131 T1 23
C3 2F_Bd 2 0.133 T1 23
C4 2F_Bd 2 0.133 T1 23
C5 2F_Jliv10 2 0.141 T1 23
C6 2F_Jliv10 2 0.135 T1 23
C7 2F_Jliv10_Bd 2 0.145 T1 23
C8 2F_Jliv10_Bd 2 0.144 T1 23
C9 2f_JlivBTP 2 0.14 T1 23
C10 2f_JlivBTP 2 0.14 T1 23
C11 2f_JlivBTP_Bd 2 0.143 T1 23
C12 2f_JlivBTP_Bd 2 0.146 T1 23
D1 2F 2 0.117 T1 23
D2 2F 2 0.124 T1 23
D3 2F_Bd 2 0.129 T1 23
D4 2F_Bd 2 0.132 T1 23
D5 2F_Jliv10 2 0.131 T1 23
D6 2F_Jliv10 2 0.136 T1 23
D7 2F_Jliv10_Bd 2 0.142 T1 23
D8 2F_Jliv10_Bd 2 0.142 T1 23
D9 2f_JlivBTP 2 0.138 T1 23
D10 2f_JlivBTP 2 0.139 T1 23
D11 2f_JlivBTP_Bd 2 0.147 T1 23
D12 2f_JlivBTP_Bd 2 0.147 T1 23
E1 2F 2 0.113 T1 23
E2 2F 2 0.128 T1 23
E3 2F_Bd 2 0.128 T1 23
E4 2F_Bd 2 0.131 T1 23
E5 2F_Jliv10 2 0.13 T1 23
E6 2F_Jliv10 2 0.131 T1 23
E7 2F_Jliv10_Bd 2 0.141 T1 23
E8 2F_Jliv10_Bd 2 0.14 T1 23
E9 2f_JlivBTP 2 0.137 T1 23
E10 2f_JlivBTP 2 0.137 T1 23
E11 2f_JlivBTP_Bd 2 0.143 T1 23
E12 2f_JlivBTP_Bd 2 0.142 T1 23
F1 37E 2 0.127 T1 23
F2 37E 2 0.128 T1 23
F3 37E 2 0.129 T1 23
F4 37E 2 0.13 T1 23
F5 37E 2 0.13 T1 23
F6 37E 2 0.131 T1 23
F7 37E 2 0.132 T1 23
F8 37E 2 0.132 T1 23
F9 37E 2 0.134 T1 23
F10 37E 2 0.137 T1 23
G1 37E_Bd 2 0.159 T1 23
G2 37E_Bd 2 0.152 T1 23
G3 37E_Bd 2 0.153 T1 23
G4 37E_Bd 2 0.147 T1 23
G5 37E_Bd 2 0.154 T1 23
G6 37E_Bd 2 0.152 T1 23
G7 37E_Bd 2 0.153 T1 23
G8 37E_Bd 2 0.163 T1 23
G9 37E_Bd 2 0.159 T1 23
G10 37E_Bd 2 0.167 T1 23
G11 Live_Bd 2 0.243 T1 23
G12 Live_Bd 2 0.262 T1 23
